number,quote
1,quote
2,"""Today is Sunday,"""
3,"""That is so,"""
4,"""And you intend to remain there a few days, I think?"""
5,"""Mais oui. Stamboul, it is a city I have never visited. It would be a pity to pass through—comme ça."""
6,"""La Sainte Sophie, it is very fine,"""
7,"""Magnificent, I believe."""
8,"""En voiture, Monsieur,"""
9,"""Merci, Monsieur."""
10,"""There are not many people travelling, I imagine?"""
11,"""Merci, Monsieur. I have the tickets of Monsieur. I will also take the passport, please. Monsieur breaks his journey in Stamboul, I understand?"""
12,"""Monsieur requires anything?"""
13,"""Merci, Monsieur. I have the tickets of Monsieur. I will also take the passport, please. Monsieur breaks his journey in Stamboul, I understand?"""
14,"""Monsieur demands a small bottle of Perrier."""
15,"""Enfin!"""
16,quote
17,The colonel from India
18,”
19,Only some damned foreigner
20,"He is susceptible, our Colonel"
21,"our Colonel,”"
22,"The train, it is as dangerous as a sea voyage!"
23,it is as dangerous as a sea voyage!”
24,What is the matter?
25,"Does it matter to you very much, Mademoiselle?"
26,Mademoiselle?”
27,Voilà ce qui est embêtant
28,”
29,Can you get me a sleeper?
30,I have time to dine?
31,quote
32,"""You are full up tonight, I hear?"""
33,"Monsieur. All the world elects to travel tonight!"""
34,"you must find room for this gentleman here. He is a friend of mine. He can have the No. 16."""
35,"Monsieur."""
36,"Monsieur. As I told you, we are full—full—everywhere."""
37,"Monsieur. It is only chance. It just happens that many people have elected to travel tonight."""
38,""" he said, “there will be the slip coach from Athens. There will also be the Bucharest-Paris coach—but we do not reach Belgrade until tomorrow evening. The problem is for tonight. There is no second-class berth free?"""
39,"Monsieur—"""
40,"then—"""
41,"my friend,"" said Poirot. “I must travel in an ordinary carriage.”"
42,""" said the man, “that there is one passenger who has not yet arrived.”"
43,"and it is four minutes to nine."""
44,"” said Poirot. “I read my Dickens. M. Harris, he will not arrive.”"
45,” said M. Bouc. “If this M. Harris arrives we will tell him that he is too late—that berths cannot be retained so long—we will arrange the matter one way or another. What do I care for a M. Harris?”
46,” said the conductor.
47,directing him where to go.
48,"Monsieur,” he called."
49,” he said. “I think you’ve made a mistake.”
50,"my name is MacQueen. I—"""
51,quote
52,"“Ah, you agree? It has not been done, I think? And yet—it lends itself to romance, my friend. All around us are people, of all classes, of all nationalities, of all ages. For three days these people, these strangers to one another, are brought together. They sleep and eat under one roof, they cannot get away from each other. At the end of three days they part, they go their several ways, never, perhaps, to see each other again.”"
53,"“Ah no, my friend—”"
54,"“From your point of view it would be regrettable, I agree. But nevertheless let us just for one moment suppose it. Then, perhaps, all these here are linked together—by death.”"
55,"“Some more wine,” said M. Bouc, hastily pouring it out. “You are morbid, mon cher. It is, perhaps, the digestion.”"
56,"“It is true,” agreed Poirot, “that the food in Syria was not, perhaps, quite suited to my stomach.”"
57,"“You’ve got to put it over big,” he was saying in a loud nasal voice."
58,"“Sure,” he said. “That whatta I say alla de time.”"
59,"“It is an idea, that,”"
